,Country,2005,2006,2007,2008,2009,2010
0,Afghanistan,77042718.0,78685964.0,80954308.0,85152637.0,91912951.0,100365175.0
1,Africa,28442492860.0,29526291008.0,30652623962.0,31830766884.0,33019042498.0,34212826270.0
2,Albania,216604688.0,220499520.0,224423664.0,228794816.0,233169632.0,237764288.0
3,Algeria,2577186565.0,2677387726.0,2785787700.0,2894819537.0,3015005401.0,3132819477.0
4,Americas (other),70950783125.0,73065649503.0,75233665397.0,77460245651.0,79617865087.0,81871783973.0
5,Andorra,7635776.0,8181712.0,8720320.0,9258928.0,9775552.0,10292176.0
6,Angola,259107043.0,281209450.0,306185554.0,331671559.0,359237062.0,388101534.0
7,Anguilla,1282400.0,1425296.0,1575520.0,1725744.0,1872304.0,2022528.0
8,Antarctic Fisheries,135568.0,142896.0,153888.0,153888.0,153888.0,153888.0
9,Antigua and Barbuda,15553680.0,15997024.0,16466016.0,16946000.0,17455296.0,17979248.0
10,Argentina,5684780278.0,5859397784.0,6033630695.0,6221671879.0,6400539263.0,6587225715.0
11,Armenia,210757312.0,215162562.0,220270324.0,225852438.0,230214768.0,234474944.0
12,Aruba,52559329.0,55274353.0,58095633.0,60752033.0,63379121.0,65885297.0
13,Asia and Pacific (other),122000000000.0,126000000000.0,131000000000.0,135000000000.0,139000000000.0,144000000000.0
14,Australia,12514760314.0,12907442187.0,13307857916.0,13712906454.0,14121579085.0,14528331858.0
15,Austria,4465240838.0,4541929302.0,4615961420.0,4689767691.0,4757250750.0,4829633894.0
16,Azerbaijan,2044246014.0,2083354554.0,2113812824.0,2149263424.0,2181120054.0,2211752942.0
17,Bahamas,132622736.0,134286192.0,135975296.0,137470208.0,139111680.0,140764144.0
18,Bahrain,475520663.0,494277583.0,521047635.0,550730082.0,578827612.0,607902442.0
19,Bangladesh,592678928.0,635634625.0,679401066.0,727708679.0,780001288.0,838283137.0
20,Barbados,34616604.0,35955896.0,37290266.0,38879272.0,40468581.0,41921213.0
21,Belarus,3301306104.0,3366167714.0,3430431637.0,3496821696.0,3558759528.0,3622621918.0
22,Belgium,10966518514.0,11090549403.0,11211160804.0,11331819814.0,11439462181.0,11553044213.0
23,Belize,10966352.0,11409696.0,11886016.0,12322032.0,12908272.0,13446880.0
24,Benin,34221541.0,37932883.0,42252514.0,46507328.0,51015261.0,55954206.0
25,Bermuda,20254592.0,20906784.0,21635920.0,22284448.0,22760768.0,23368992.0
26,Bhutan,5321940.0,5694946.0,6066973.0,6467797.0,6835598.0,7299755.0
27,Bolivia,258096381.0,273017224.0,285194073.0,298234712.0,311981298.0,326922681.0
28,Bonaire Sint Eustatius and Saba,18155959.0,18421603.0,18720658.0,19008304.0,19302632.0,19505369.0
29,Bosnia and Herzegovina,575739027.0,593125746.0,610600078.0,630558726.0,651095820.0,672241461.0
30,Botswana,67703392.0,71836384.0,76064640.0,80567696.0,84326960.0,88980546.0
31,Brazil,8975096312.0,9317042680.0,9673961432.0,10054306360.0,10414397136.0,10825637328.0
32,British Virgin Islands,2348624.0,2491520.0,2641744.0,2802960.0,2967840.0,3140048.0
33,Brunei,231986160.0,236723712.0,245033664.0,254025120.0,261770816.0,269831616.0
34,Bulgaria,3116744801.0,3168570371.0,3224207405.0,3278180198.0,3323887343.0,3371680146.0
35,Burkina Faso,22024292.0,23380526.0,25022393.0,26885164.0,28751993.0,30645934.0
